Document_Id,Profile_Name,Title,Co_Authors,Title_Link,No_Of_Citations
16,Jackie Abell,Evaluation of the use of psychometric scales in human–wildlife interaction research to determine attitudes and tolerance toward wildlife,"Abell, J.",https://pureportal.coventry.ac.uk/en/publications/evaluation-of-the-use-of-psychometric-scales-in-humanwildlife-int,"
7
"
17,Jackie Abell,‘You come back fighting. That’s what gives you the drive to achieve’: The extraordinary psychological construction of the super-rich in entertainment documentaries,"Abell, J.",https://pureportal.coventry.ac.uk/en/publications/you-come-back-fighting-thats-what-gives-you-the-drive-to-achieve-,"
5
"
18,Jackie Abell,Social Psychology,"Abell, J.",https://pureportal.coventry.ac.uk/en/publications/social-psychology-3rd-european-edition,"
11
"
19,Jackie Abell,The Psychologists' Tree of Life: A Special Feature on Psychologists Working with Non-Human Animals.  A Matter of Pride,"Abell, J.",https://pureportal.coventry.ac.uk/en/publications/the-psychologists-tree-of-life-a-special-feature-on-psychologists,"
5
"
20,Jackie Abell,An assessment of African lion Panthera leo sociality via social network analysis: prerelease monitoring for an ex situ reintroduction program,"Abell, J.",https://pureportal.coventry.ac.uk/en/publications/an-assessment-of-african-lion-panthera-leo-sociality-via-social-n-3,"
9
"
21,Jackie Abell,Does captivity influence territorial and hunting behaviour? Assessment for an ex-situ reintroduction program of African lions (Panthera leo),"Abell, J.",https://pureportal.coventry.ac.uk/en/publications/does-captivity-influence-territorial-and-hunting-behaviour-assess,"
9
"
22,Jackie Abell,"Investigating the impacts of captive origin, time and vegetation on the daily activity of African lion prides","Abell, J.",https://pureportal.coventry.ac.uk/en/publications/investigating-the-impacts-of-captive-origin-time-and-vegetation-o,"
8
"
23,Jackie Abell,"Patch - Occupancy Survey of Elephant (Loxodonta africana) Surrounding Livingstone, Zambia","Abell, J.",https://pureportal.coventry.ac.uk/en/publications/patch-occupancy-survey-of-elephant-loxodonta-africana-surrounding-2,"
3
"
24,Jackie Abell,The Social Psychology of Human Wild Lion Conflict Mitigation: Attitudes & Behaviours in Rural Zimbabwe,"Abell, J.",https://pureportal.coventry.ac.uk/en/publications/the-social-psychology-of-human-wild-lion-conflict-mitigation-atti,"
40
"
25,Jackie Abell,Behavioral correlates between daily activity and sociality in wild and captive origin African lions,"Abell, J.",https://pureportal.coventry.ac.uk/en/publications/behavioral-correlates-between-daily-activity-and-sociality-in-wil-2,"
51
"
26,Jackie Abell,"Exploring African lion (Panthera leo) behavioural phenotypes: individual differences and correlations between sociality, boldness and behaviour","Abell, J.",https://pureportal.coventry.ac.uk/en/publications/exploring-african-lion-panthera-leo-behavioural-phenotypes-indivi-2,"
48
"
27,Jackie Abell,Re-introduction of the African lion from a captive origin: Zambia & Zimbabwe,"Abell, J.",https://pureportal.coventry.ac.uk/en/publications/re-introduction-of-the-african-lion-from-a-captive-origin-zambia--2,"
35
"
28,Jackie Abell,Social Psychology,"Abell, J.",https://pureportal.coventry.ac.uk/en/publications/social-psychology,"
103
"
29,Jackie Abell,Social psychology in the lion’s den,"Abell, J.",https://pureportal.coventry.ac.uk/en/publications/social-psychology-in-the-lions-den-2,"
42
"
30,Jackie Abell,A social network analysis of social cohesion in a constructed pride: Implications for ex situ reintroduction of the African Lion (Panthera leo),"Abell, J.",https://pureportal.coventry.ac.uk/en/publications/a-social-network-analysis-of-social-cohesion-in-a-constructed-pri-2,"
53
"
31,Jackie Abell,Intersectionality of ethno-cultural identities and construal of distant suffering outgroups,"Abell, J.",https://pureportal.coventry.ac.uk/en/publications/intersectionality-of-ethno-cultural-identities-and-construal-of-d,"
25
"
32,Jackie Abell,Volunteering to help conserve endangered species: An identity approach to human-animal relationships,"Abell, J.",https://pureportal.coventry.ac.uk/en/publications/volunteering-to-help-conserve-endangered-species-an-identity-appr,"
35
"
33,Jackie Abell,Defending the faith(s)? Democracy and hereditary right in England,"Abell, J.",https://pureportal.coventry.ac.uk/en/publications/defending-the-faiths-democracy-and-hereditary-right-in-england,"
27
"
34,Jackie Abell,Enacting national concerns:   Anglo-British accounts of the 2002 Royal Golden Jubilee,"Abell, J.",https://pureportal.coventry.ac.uk/en/publications/enacting-national-concerns-anglo-british-accounts-of-the-2002-roy,"
53
"
35,Essam Abo-Serie,Simplified CFD Model for Assessing the Cooling Channel Design in 3D Printed High-Pressure Tools for Aluminium Alloy Casting,"Abo-Serie, E.",https://pureportal.coventry.ac.uk/en/publications/simplified-cfd-model-for-assessing-the-cooling-channel-design-in-,"
3
"
36,Essam Abo-Serie,Adjoint Optimization of conformal cooling channels for rapid prototyped mould inserts,"Abo-Serie, E.",https://pureportal.coventry.ac.uk/en/publications/adjoint-optimization-of-conformal-cooling-channels-for-rapid-prot,"
19
"
37,Essam Abo-Serie,CFD Simulation and testing of a Turbocharger Compressor for various Impeller Design Variables,"Abo-Serie, E.",https://pureportal.coventry.ac.uk/en/publications/cfd-simulation-and-testing-of-a-turbocharger-compressor-for-vario,"
2
"
38,Essam Abo-Serie,Conformal cooling of aluminium flat fins using a 3-D printed water-cooled mould,"Abo-Serie, E.",https://pureportal.coventry.ac.uk/en/publications/conformal-cooling-of-aluminium-flat-fins-using-a-3-d-printed-wate,"
49
"
39,Essam Abo-Serie,Effect of Split-injection on Fuel Mixing and Cylinder Flow Characteristics of GDI Engines,"Abo-Serie, E.",https://pureportal.coventry.ac.uk/en/publications/effect-of-split-injection-on-fuel-mixing-and-cylinder-flow-charac,"
1
"
40,Essam Abo-Serie,Numerical Analysis of Flat Corners Cooling of 3D-Printed High-Pressure Tools for Aluminium Casting,"Abo-Serie, E.",https://pureportal.coventry.ac.uk/en/publications/numerical-analysis-of-flat-corners-cooling-of-3d-printed-high-pre,"
3
"
41,Essam Abo-Serie,Analysis of Intra-Aortic Axial Pump for Heart Assist,"Abo-Serie, E.",https://pureportal.coventry.ac.uk/en/publications/analysis-of-intra-aortic-axial-pump-for-heart-assist,"
1
"
42,Essam Abo-Serie,Modelling of a Coupled Catalyst and Particulate Filter for Gasoline Direct Injection Engines,"Abo-Serie, E.",https://pureportal.coventry.ac.uk/en/publications/modelling-of-a-coupled-catalyst-and-particulate-filter-for-gasoli,"
31
"
43,Essam Abo-Serie,Numerical Study of Natural Convection in Square Tilted Solar Cavity Considering Extended Domain,"Abo-Serie, E.",https://pureportal.coventry.ac.uk/en/publications/numerical-study-of-natural-convection-in-square-tilted-solar-cavi,"
34
"
44,Essam Abo-Serie,Robust butt welding seam finding technique for intelligent robotic welding system using active laser vision,"Abo-Serie, E.",https://pureportal.coventry.ac.uk/en/publications/robust-butt-welding-seam-finding-technique-for-intelligent-roboti,"
34
"
45,Essam Abo-Serie,Aerodynamics assessment using CFD for a low drag Shell Eco-Marathon car,"Abo-Serie, E.",https://pureportal.coventry.ac.uk/en/publications/aerodynamics-assessment-using-cfd-for-a-low-drag-shell-eco-marath,"
4
"
46,Essam Abo-Serie,Shaftless multi blade wind turbine,"Abo-Serie, E.",https://pureportal.coventry.ac.uk/en/publications/shaftless-multi-blade-wind-turbine,"
14
"
47,Essam Abo-Serie,Welding seam profiling techniques based on active vision sensing for intelligent robotic welding,"Abo-Serie, E.",https://pureportal.coventry.ac.uk/en/publications/welding-seam-profiling-techniques-based-on-active-vision-sensing-,"
15
"
48,Essam Abo-Serie,Design Considerations for an Active Laser Vision Based Control for Intelligent Robotic Welding System,"Abo-Serie, E.",https://pureportal.coventry.ac.uk/en/publications/design-considerations-for-an-active-laser-vision-based-control-fo,"
23
"
49,Essam Abo-Serie,Gaseous fuel for lower emissions during the cold start and warming up of spark ignition engines,"Abo-Serie, E.",https://pureportal.coventry.ac.uk/en/publications/gaseous-fuel-for-lower-emissions-during-the-cold-start-and-warmin,"
40
"
50,Essam Abo-Serie,GAS METAL ARC WELDING QUALITY EVALUATION USING SOUND SIGNALS,"Abo-Serie, E.",https://pureportal.coventry.ac.uk/en/publications/gas-metal-arc-welding-quality-evaluation-using-sound-signals,"
5
"
51,Essam Abo-Serie,Numerical investigation of diffuser solidity effect on turbulent airflow and performance of the turbocharger compressor,"Abo-Serie, E.",https://pureportal.coventry.ac.uk/en/publications/numerical-investigation-of-diffuser-solidity-effect-on-turbulent--2,"
13
"
52,Essam Abo-Serie,OTOMATİK KAYNAK DİKİŞ İZİ TAKİP YÖNTEMİ VE ARACI,"Abo-Serie, E.",https://pureportal.coventry.ac.uk/en/publications/automatic-welding-stitch-tracking-method-and-tool,"
6
"
53,Jay Abrahams,"The Brookside Farm Wetland Ecosystem Treatment (WET) System: A Low-Energy Methodology for Sewage Purification, Biomass Production (Yield), Flood Resilience and Biodiversity Enhancement","Abrahams, J. C.",https://pureportal.coventry.ac.uk/en/publications/the-brookside-farm-wetland-ecosystem-treatment-wet-system-a-low-e-2,"
7
"
54,Adam Abukari,OECD’s Global Principles and EU’s tax crime measures,"Turksen, U.",https://pureportal.coventry.ac.uk/en/publications/oecds-global-principles-and-eus-tax-crime-measures,"
1
"
55,Anees Abu-Monshar,On the Development of a Multilayered Agent-based Heuristic System for Vehicle Routing Problem under Random Vehicle Breakdown,"Abu-Monshar, A.",https://pureportal.coventry.ac.uk/en/publications/on-the-development-of-a-multilayered-agent-based-heuristic-system,"
1
"
56,Elijah Acquah-Andoh,The Fiscal Regime for UK Shale Gas: Analysing the Impacts of Pad Allowance on Shale Gas Investments,"Acquah-Andoh, E.",https://pureportal.coventry.ac.uk/en/publications/the-fiscal-regime-for-uk-shale-gas-analysing-the-impacts-of-pad-a,"
4
"
57,Elijah Acquah-Andoh,Brexit and UK Energy Security: Perspectives from Unconventional Gas Investment and the Effects of Shale Gas on UK Energy Prices,"Acquah-Andoh, E.",https://pureportal.coventry.ac.uk/en/publications/brexit-and-uk-energy-security-perspectives-from-unconventional-ga,"
6
"
58,Elijah Acquah-Andoh,Coalbed Methane Development in Indonesia: Design and Economic Analysis of Upstream Petroleum Fiscal Policy,"Acquah-Andoh, E.",https://pureportal.coventry.ac.uk/en/publications/coalbed-methane-development-in-indonesia-design-and-economic-anal,"
7
"
59,Elijah Acquah-Andoh,Integrating Human Factors (HF) into a Process Safety Management System (PSMS),"Acquah-Andoh, E.",https://pureportal.coventry.ac.uk/en/publications/integrating-human-factors-hf-into-a-process-safety-management-sys,"
4
"
60,Arinola Adefila,Development of autonomy on placement: perceptions of physiotherapy students and educators in Australia and the United Kingdom,"Clouder, L.",https://pureportal.coventry.ac.uk/en/publications/development-of-autonomy-on-placement-perceptions-of-physiotherapy,"
1
"
61,Arinola Adefila,Education for Integrated Working – A Qualitative Research Study Exploring and Contextualizing how Practitioners Learn in Practice,"Clouder, L.",https://pureportal.coventry.ac.uk/en/publications/education-for-integrated-working-a-qualitative-research-study-exp,"
3
"
62,Arinola Adefila,Higher education decolonisation: #Whose voices and their geographical locations?,"Clouder, L.",https://pureportal.coventry.ac.uk/en/publications/higher-education-decolonisation-whose-voices-and-their-geographic,"
2
"
63,Arinola Adefila,"JOVITAL - Jordan Opportunity for Virtual Innovative Teaching and Learning Final Report on project activity and impact evaluation 2017-2021: International Online Teaching and Learning, with particular attention to the Jordanian Case ","Clouder, L.",https://pureportal.coventry.ac.uk/en/publications/jovital-jordan-opportunity-for-virtual-innovative-teaching-and-le,"
5
"
64,Arinola Adefila,Bottle house: utilising appreciative inquiry to develop a user acceptance model,"Clouder, L.",https://pureportal.coventry.ac.uk/en/publications/bottle-house-utilising-appreciative-inquiry-to-develop-a-user-acc,"
13
"
65,Arinola Adefila,Developing an Autonomous-Support Culture in Higher Education for Disabled Students,"Clouder, L.",https://pureportal.coventry.ac.uk/en/publications/developing-an-autonomous-support-culture-in-higher-education-for-,"
18
"
66,Arinola Adefila,Enhancing school safety through university engagement in DRR education,"Clouder, L.",https://pureportal.coventry.ac.uk/en/publications/enhancing-school-safety-through-university-engagement-in-drr-educ,"
6
"
67,Arinola Adefila,Fast and Slow: Using Spritz for Academic Study?,"Clouder, L.",https://pureportal.coventry.ac.uk/en/publications/fast-and-slow-using-spritz-for-academic-study-technology-knowledg,"
21
"
68,Arinola Adefila,Students’ engagement and learning experiences using virtual patient simulation in a computer supported collaborative learning environment,"Clouder, L.",https://pureportal.coventry.ac.uk/en/publications/students-engagement-and-learning-experiences-using-virtual-patien,"
15
"
69,Arinola Adefila,Capacity Building for Virtual Innovative Teaching and Learning in Jordan – Experiences of the JOVITAL project,"Clouder, L.",https://pureportal.coventry.ac.uk/en/publications/capacity-building-for-virtual-innovative-teaching-and-learning-in,"
3
"
70,Abiodun Adegbile,Environments for joint university-industry laboratories (JUIL): Micro-level dimensions and research implications,"Adegbile, A.",https://pureportal.coventry.ac.uk/en/publications/environments-for-joint-university-industry-laboratories-juil-micr,"
2
"
71,Abiodun Adegbile,Industry–University Collaborations in Emerging Economies:  A legitimacy perspective,"Adegbile, A.",https://pureportal.coventry.ac.uk/en/publications/industryuniversity-collaborations-in-emerging-economies-a-legitim,"
7
"
72,Abiodun Adegbile,Resource Mobilisation in Entrepreneurial Ventures (1987–2019): An Integrative Review and Opportunities for Future Research,"Adegbile, A.",https://pureportal.coventry.ac.uk/en/publications/resource-mobilisation-in-entrepreneurial-ventures-19872019-an-int,"
14
"
73,Abiodun Adegbile,Towards A 5c Theory of Communication for Scrum-Based Distributed Projects,"Adegbile, A.",https://pureportal.coventry.ac.uk/en/publications/towards-a-5c-theory-of-communication-for-scrum-based-distributed-,"
4
"
74,Amanda R A Adegboye,COVID-19: A Syndemic Requiring an Integrated Approach for Marginalized Populations,"Rodrigues Amorim Adegboye, A.",https://pureportal.coventry.ac.uk/en/publications/covid-19-a-syndemic-requiring-an-integrated-approach-for-marginal,"
1
"
75,Amanda R A Adegboye,Exploratory Efficacy of Calcium-Vitamin D Milk Fortification and Periodontal Therapy on Maternal Oral Health and Metabolic and Inflammatory Profile,"Rodrigues Amorim Adegboye, A.",https://pureportal.coventry.ac.uk/en/publications/exploratory-efficacy-of-calcium-vitamin-d-milk-fortification-and-,"
4
"
76,Amanda R A Adegboye,Factors Influencing Pregnancy and Postpartum Weight Management in Women of African and Caribbean Ancestry Living in High Income Countries: Systematic Review and Evidence Synthesis Using a Behavioral Change Theoretical Model,"Rodrigues Amorim Adegboye, A.",https://pureportal.coventry.ac.uk/en/publications/factors-influencing-pregnancy-and-postpartum-weight-management-in,"
1
"
77,Amanda R A Adegboye,An evaluation of the nutritional value and physical properties of blenderised enteral nutrition formula: A systematic review and meta-analysis,"Rodrigues Amorim Adegboye, A.",https://pureportal.coventry.ac.uk/en/publications/an-evaluation-of-the-nutritional-value-and-physical-properties-of,"
1
"
78,Amanda R A Adegboye,Attitudinal Determinants of diet and lifestyle among African and Caribbean women living in the UK: study design and rationale,"Rodrigues Amorim Adegboye, A.",https://pureportal.coventry.ac.uk/en/publications/attitudinal-determinants-of-diet-and-lifestyle-among-african-and-,"
3
"
79,Amanda R A Adegboye,Correction to: Calcium and vitamin D supplementation and/or periodontal therapy in the treatment of periodontitis among Brazilian pregnant women: protocol of a feasibility randomised controlled trial (the IMPROVE trial) ,"Rodrigues Amorim Adegboye, A.",https://pureportal.coventry.ac.uk/en/publications/correction-to-calcium-and-vitamin-d-supplementation-andor-periodo,"
3
"
80,Amanda R A Adegboye,Recruitment of low-income pregnant women into a dietary and dental care intervention: lessons from a feasibility trial,"Rodrigues Amorim Adegboye, A.",https://pureportal.coventry.ac.uk/en/publications/recruitment-of-low-income-pregnant-women-into-a-dietary-and-denta,"
9
"
81,Amanda R A Adegboye,The effect of self-reported lactose intolerance and dairy consumption on bone mineral density among american hip arthroplasty patients: A cross-sectional study,"Rodrigues Amorim Adegboye, A.",https://pureportal.coventry.ac.uk/en/publications/the-effect-of-self-reported-lactose-intolerance-and-dairy-consump,"
19
"
82,Amanda R A Adegboye,The Microbial Quality and Safety of Blenderised Enteral Nutrition Formula: A Systematic Review,"Rodrigues Amorim Adegboye, A.",https://pureportal.coventry.ac.uk/en/publications/the-microbial-quality-and-safety-of-blenderised-enteral-nutrition,"
1
"
83,Amanda R A Adegboye,The Use of Dietary Supplements Among African and Caribbean Women Living in the UK: A Cross-Sectional Study ,"Rodrigues Amorim Adegboye, A.",https://pureportal.coventry.ac.uk/en/publications/the-use-of-dietary-supplements-among-african-and-caribbean-women-,"
15
"
84,Amanda R A Adegboye,Vitamin D and calcium milk fortification in pregnant women with periodontitis: A feasibility trial,"Rodrigues Amorim Adegboye, A.",https://pureportal.coventry.ac.uk/en/publications/vitamin-d-and-calcium-milk-fortification-in-pregnant-women-with-p,"
4
"
85,Amanda R A Adegboye,Exploring infant & young child feeding (IYCF) practices & perceptions in the London Borough of Tower Hamlets,"Rodrigues Amorim Adegboye, A.",https://pureportal.coventry.ac.uk/en/publications/exploring-infant-amp-young-child-feeding-iycf-practices-amp-perce,"
16
"
86,Amanda R A Adegboye,"Exploring Infant and Young Child Feeding Practices in the Royal Borough of Greenwich, London, to Improve Health and Nutrition Outcomes in Children Under 2 Years of Age","Rodrigues Amorim Adegboye, A.",https://pureportal.coventry.ac.uk/en/publications/exploring-infant-and-young-child-feeding-practices-in-the-royal-b,"
25
"
87,Amanda R A Adegboye,High protein diet promotes body weight loss among Brazilian postpartum women,"Rodrigues Amorim Adegboye, A.",https://pureportal.coventry.ac.uk/en/publications/high-protein-diet-promotes-body-weight-loss-among-brazilian-postp,"
17
"
88,Amanda R A Adegboye,Impact of lipid-based nutrient supplements on prevention and treatment of childhood moderate undernutrition,"Rodrigues Amorim Adegboye, A.",https://pureportal.coventry.ac.uk/en/publications/impact-of-lipid-based-nutrient-supplements-on-prevention-and-trea,"
2
"
89,Amanda R A Adegboye,Longitudinal association of 25-hydroxyvitamin D with adipokines and markers of glucose metabolism among Brazilian pregnant women,"Rodrigues Amorim Adegboye, A.",https://pureportal.coventry.ac.uk/en/publications/longitudinal-association-of-25-hydroxyvitamin-d-with-adipokines-a,"
40
"
90,Amanda R A Adegboye,Nutritional factors and cardiovascular disease risk in Black African and Black Caribbean women: a cross-sectional study,"Rodrigues Amorim Adegboye, A.",https://pureportal.coventry.ac.uk/en/publications/nutritional-factors-and-cardiovascular-disease-risk-in-black-afri,"
78
"
91,Amanda R A Adegboye,The effects of a low GI diet on cardiometabolic and inflammatory parameters in patients with type 2 and gestational diabetes: A systematic review and meta-analysis of randomised controlled trials,"Rodrigues Amorim Adegboye, A.",https://pureportal.coventry.ac.uk/en/publications/the-effects-of-a-low-gi-diet-on-cardiometabolic-and-inflammatory-,"
9
"
92,Amanda R A Adegboye,"Changes in plasma concentrations of 25-hydroxyvitamin D and 1,25-dihydroxyvitamin D during pregnancy: a Brazilian cohort","Rodrigues Amorim Adegboye, A.",https://pureportal.coventry.ac.uk/en/publications/changes-in-plasma-concentrations-of-25-hydroxyvitamin-d-and-125-d,"
5
"
93,Amanda R A Adegboye,Serum fatty acids are positively associated with changes in systemic blood pressure throughout pregnancy,"Rodrigues Amorim Adegboye, A.",https://pureportal.coventry.ac.uk/en/publications/serum-fatty-acids-are-positively-associated-with-changes-in-syste,"
28
"
94,Amanda R A Adegboye,Association between early pregnancy vitamin D status and changes in serum lipid profiles throughout pregnancy,"Rodrigues Amorim Adegboye, A.",https://pureportal.coventry.ac.uk/en/publications/association-between-early-pregnancy-vitamin-d-status-and-changes-,"
37
"
95,Amanda R A Adegboye,Evaluation of a type 2 diabetes prevention program using a commercial weight management provider for nondiabetic hyperglycemic patients referred by primary care in the UK,"Rodrigues Amorim Adegboye, A.",https://pureportal.coventry.ac.uk/en/publications/evaluation-of-a-type-2-diabetes-prevention-program-using-a-commer,"
61
"
96,Amanda R A Adegboye,Omega-3 supplementation from pregnancy to postpartum to prevent depressive symptoms: A randomized placebo-controlled trial,"Rodrigues Amorim Adegboye, A.",https://pureportal.coventry.ac.uk/en/publications/omega-3-supplementation-from-pregnancy-to-postpartum-to-prevent-d,"
165
"
97,Amanda R A Adegboye,"Calcium, Vitamin D, casein and whey protein intakes and periodontitis among Danish adults","Rodrigues Amorim Adegboye, A.",https://pureportal.coventry.ac.uk/en/publications/calcium-vitamin-d-casein-and-whey-protein-intakes-and-periodontit,"
25
"
98,Amanda R A Adegboye,"ESPGHAN 49th ANNUAL MEETING of the European Society for Paediatric Gastroenterology, Hepatology and Nutrition","Rodrigues Amorim Adegboye, A.",https://pureportal.coventry.ac.uk/en/publications/espghan-49th-annual-meeting-of-the-european-society-for-paediatri,"
22
"
99,Amanda R A Adegboye,Interventions for improving pregnancy outcomes in antenatally diagnosed or suspected morbidly adherent placenta,"Rodrigues Amorim Adegboye, A.",https://pureportal.coventry.ac.uk/en/publications/interventions-for-improving-pregnancy-outcomes-in-antenatally-dia,"
18
"
100,Amanda R A Adegboye,The effect of alcohol consumption on periodontitis in older Danes,"Rodrigues Amorim Adegboye, A.",https://pureportal.coventry.ac.uk/en/publications/the-effect-of-alcohol-consumption-on-periodontitis-in-older-danes,"
102
"
101,Amanda R A Adegboye,Associations between initial change in physical activity level and subsequent change in regional body fat distributions,"Rodrigues Amorim Adegboye, A.",https://pureportal.coventry.ac.uk/en/publications/associations-between-initial-change-in-physical-activity-level-an,"
24
"
102,Amanda R A Adegboye,C-reactive protein and later preeclampsia: Systematic review and meta-analysis taking into account the weight status,"Rodrigues Amorim Adegboye, A.",https://pureportal.coventry.ac.uk/en/publications/c-reactive-protein-and-later-preeclampsia-systematic-review-and-m,"
228
"
103,Amanda R A Adegboye,"Diet or exercise, or both, for weight reduction in women after childbirth","Rodrigues Amorim Adegboye, A.",https://pureportal.coventry.ac.uk/en/publications/diet-or-exercise-or-both-for-weight-reduction-in-women-after-chil,"
46
"
104,Janneke Adema,Books Contain Multitudes: Exploring Experimental Publishing,"Adema, J.",https://pureportal.coventry.ac.uk/en/publications/books-contain-multitudes-exploring-experimental-publishing,"
8
"
105,Janneke Adema,Scaling Small; Or How to Envision New Relationalities for Knowledge Production,"Adema, J.",https://pureportal.coventry.ac.uk/en/publications/scaling-small-or-how-to-envision-new-relationalities-for-knowledg,"
4
"
106,Janneke Adema,Community-led Open Publication Infrastructures for Monographs (COPIM): Annual Report - Year 1 (2019-2020),"Adema, J.",https://pureportal.coventry.ac.uk/en/publications/community-led-open-publication-infrastructures-for-monographs-cop,"
3
"
107,Janneke Adema,Post It,"Adema, J.",https://pureportal.coventry.ac.uk/en/publications/post-it,"
1
"
108,Janneke Adema,"The Ethics Of Emergent Creativity: Can We Move Beyond Writing As Human Enterprise, Commodity And Innovation?","Adema, J.",https://pureportal.coventry.ac.uk/en/publications/the-ethics-of-emergent-creativity-can-we-move-beyond-writing-as-h,"
4
"
109,Mahalaxmi Adhikari Parajuli,CSR Implication and Disclosure in Higher Education: Uncovered Points. Results from a Systematic Literature Review and Agenda for Future Research,"Adhikari Parajuli, M.",https://pureportal.coventry.ac.uk/en/publications/csr-implication-and-disclosure-in-higher-education-uncovered-poin,"
2
"
110,Mahalaxmi Adhikari Parajuli,"Integrated reporting in higher education: Insights from Scotland, Northern Ireland and Wales","Adhikari Parajuli, M.",https://pureportal.coventry.ac.uk/en/publications/integrated-reporting-in-higher-education-insights-from-scotland-n,"
5
"
111,Mahalaxmi Adhikari Parajuli,Integrated Reporting in UK Higher Education Institutions,"Adhikari Parajuli, M.",https://pureportal.coventry.ac.uk/en/publications/integrated-reporting-in-uk-higher-education-institutions,"
24
"
112,Daniel Aghanya,Corporate Political Strategies in Weak Institutional Environments: A Break from Conventions,"Aghanya, D.",https://pureportal.coventry.ac.uk/en/publications/corporate-political-strategies-in-weak-institutional-environments,"
6
"
113,Daniel Aghanya,"Market in Financial Instruments Directive (MiFID), stock price informativeness and liquidity","Aghanya, D.",https://pureportal.coventry.ac.uk/en/publications/market-in-financial-instruments-directive-mifid-stock-price-infor,"
4
"
114,Daniel Aghanya,The effect of government involvement and payment method on merger and acquisition performance: the case of China,"Aghanya, D.",https://pureportal.coventry.ac.uk/en/publications/the-effect-of-government-involvement-and-payment-method-on-merger,"
1
"
115,Daniel Aghanya,"The impact of regulations on compliance costs, risk-taking, and reporting quality of the EU banks","Aghanya, D.",https://pureportal.coventry.ac.uk/en/publications/the-impact-of-regulations-on-compliance-costs-risk-taking-and-rep,"
1
"
116,Rishav Agrawal,Low- and High-Drag Intermittencies in Turbulent Channel Flows,"Agrawal, R.",https://pureportal.coventry.ac.uk/en/publications/low-and-high-drag-intermittencies-in-turbulent-channel-flows,"
3
"
